model,epoch,train_loss,train_acc,val_loss,val_acc
2conv,1,1.547385,0.43528,1.199714,0.5733
2conv,2,1.227492,0.5592,1.086002,0.613
2conv,3,1.100479,0.60916,0.978395,0.657
2conv,4,1.015054,0.64304,0.904281,0.6782
2conv,5,0.958988,0.66002,0.871321,0.7056
2conv,6,0.913518,0.67854,0.836186,0.7112
2conv,7,0.879997,0.691,0.849785,0.7072
2conv,8,0.851572,0.6998,0.813749,0.7172
2conv,9,0.832081,0.70866,0.811621,0.722
2conv,10,0.806029,0.71622,0.772807,0.7289
4conv,1,1.611659,0.40124,1.391434,0.4886
4conv,2,1.239161,0.5509,1.069262,0.6112
4conv,3,1.069089,0.61674,0.972904,0.6541
4conv,4,0.964947,0.6572,0.881639,0.6845
4conv,5,0.884802,0.68608,0.812714,0.7166
4conv,6,0.83371,0.70534,0.815864,0.7153
4conv,7,0.796402,0.71718,0.843603,0.7085
4conv,8,0.766155,0.72964,0.739906,0.7418
4conv,9,0.737331,0.7408,0.740146,0.7417
4conv,10,0.714481,0.74982,0.708716,0.754
6conv,1,1.681857,0.35148,1.365433,0.4847
6conv,2,1.307406,0.51868,1.152242,0.5847
6conv,3,1.144553,0.58356,1.063737,0.6264
6conv,4,1.039491,0.62818,1.090705,0.611
6conv,5,0.96049,0.65786,0.933944,0.673
6conv,6,0.900808,0.68362,0.926352,0.6822
6conv,7,0.848398,0.70382,0.846916,0.7039
6conv,8,0.811449,0.71418,0.796645,0.7268
6conv,9,0.780289,0.72646,0.777147,0.7345
6conv,10,0.754222,0.7356,0.774071,0.7362
